name,ID,2019,2018,2017,2016,2015,2014
Alabama,1,0.07,0.05,0.06,1.53,0.15,0.13
Alaska,2,0.68,0.11,0.18,0.02,1.40,0.06
Arizona,3,0.53,0.23,0.59,0.42,0.22,0.28
Arkansas,4,0.03,0.07,0.10,0.10,0.08,0.06
California,5,0.26,1.83,1.27,0.56,0.90,0.56
Colorado,6,0.06,0.72,0.17,0.20,0.03,0.04
Connecticut,7,0.00,0.00,0.01,0.03,0.01,0.00
Delaware,8,0.00,0.00,0.00,0.00,0.00,0.00
District_of_Columbia,9,0.00,0.00,0.00,0.00,0.00,0.00
Florida,10,0.36,0.40,0.87,0.22,0.21,0.30
Georgia,11,0.03,0.04,0.55,0.14,0.03,0.05
Hawaii,12,0.26,0.53,0.05,0.37,0.14,0.00
Idaho,13,0.54,1.14,1.30,0.68,1.52,0.36
Illinois,14,0.00,0.00,0.00,0.00,0.00,0.00
Indiana,15,0.00,0.00,0.00,0.00,0.00,0.00
Iowa,16,0.01,0.02,0.02,0.06,0.04,0.03
Kansas,17,0.04,0.11,0.91,0.67,0.10,0.06
Kentucky,18,0.05,0.03,0.11,0.29,0.08,0.17
Louisiana,19,0.01,0.04,0.04,0.03,0.08,0.09
Maine,20,0.00,0.00,0.00,0.00,0.00,0.00
Maryland,21,0.02,0.01,0.04,0.00,0.02,0.03
Massachusetts,22,0.01,0.00,0.02,0.03,0.04,0.02
Michigan,23,0.00,0.01,0.00,0.01,0.01,0.00
Minnesota,24,0.01,0.03,0.01,0.02,0.06,0.01
Mississippi,25,0.02,0.07,0.14,0.03,0.12,0.03
Missouri,26,0.01,0.01,0.02,0.07,0.07,0.01
Montana,27,0.07,0.11,1.47,0.12,0.38,0.04
Nebraska,28,0.02,0.00,0.01,0.05,0.01,0.00
Nevada,29,0.12,1.43,1.89,0.38,0.06,0.08
New_Hampshire,30,0.00,0.00,0.00,0.02,0.01,0.00
New_Jersey,31,0.24,0.03,0.11,0.09,0.06,0.22
New_Mexico,32,0.10,0.49,0.18,0.27,0.06,0.03
New_York,33,0.00,0.00,0.00,0.01,0.01,0.00
North_Carolina,34,0.05,0.06,0.15,0.28,0.05,0.05
North_Dakota,35,0.01,0.04,0.04,0.01,0.07,0.01
Ohio,36,0.00,0.00,0.00,0.00,0.00,0.00
Oklahoma,37,0.15,1.70,1.14,1.75,0.23,0.36
Oregon,38,0.13,1.46,1.16,0.36,1.12,1.60
Pennsylvania,39,0.00,0.01,0.01,0.04,0.02,0.02
Rhode Island,40,0.01,0.00,0.00,0.01,0.02,0.00
South_Carolina,41,0.03,0.05,0.06,0.02,0.02,0.04
South_Dakota,42,0.00,0.01,0.16,0.17,0.15,0.03
Tennessee,43,0.02,0.01,0.03,0.33,0.03,0.59
Texas,44,0.13,0.34,0.44,0.21,0.11,0.08
Utah,45,0.18,0.83,0.48,0.19,0.02,0.05
Vermont,46,0.00,0.00,0.00,0.01,0.01,0.00
Virginia,47,0.01,0.06,0.08,0.16,0.03,0.04
Washington,48,0.40,1.03,0.95,0.69,2.00,0.91
West Virginia,49,0.05,0.04,0.04,0.00,0.00,0.05
Wisconsin,50,0.00,0.00,0.00,0.00,0.01,0.01
Wyoming,51,0.07,0.45,0.15,0.35,0.06,0.01
